location,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,risk_category,risk_score,temp_c,temp_f,humidity,wind_kph,wind_degree,wind_dir,pressure_mb,precip_mm,cloud,feelslike_c,visibility_km,uv,condition,timestamp,hour,day_of_week,month,is_weekend,pm_ratio,heat_index,z_score,is_anomaly
Semarang,-7.0051,110.4381,1,247.99,0.02,5.41,32.75,1.68,6.75,15.86,12.98,good,0,25.6,78.1,87,3.6,336,NNW,1009.0,1.43,58,28.5,9.0,0.0,Patchy light rain,2025-11-22 14:42:58.578552,14,5,11,1,0.400355871886121,26.035,0,False
Solo,-7.5755,110.8243,1,76.8,0.0,0.03,38.04,0.14,1.17,4.79,0.02,good,0,18.9,66.0,90,5.4,246,WSW,1014.0,0.02,70,18.9,10.0,0.0,Patchy rain nearby,2025-11-22 14:42:58.766196,14,5,11,1,0.20207253886010362,19.349999999999998,0,False
Tegal,-6.8694,109.1402,1,91.5,0.0,0.63,37.59,0.19,1.42,4.63,2.4,good,0,26.3,79.4,80,16.6,193,SSW,1009.0,0.0,48,29.1,10.0,0.0,Partly Cloudy,2025-11-22 14:42:58.955532,14,5,11,1,0.2522202486678508,26.7,0,False
Pekalongan,-6.8886,109.6753,1,96.24,0.0,1.38,38.47,1.67,1.49,4.66,2.09,good,0,25.9,78.7,85,6.1,160,SSE,1009.0,1.36,74,28.9,10.0,0.0,Light rain shower,2025-11-22 14:42:59.295697,14,5,11,1,0.26325088339222613,26.325,0,False
Purwokerto,-7.4246,109.2379,1,76.47,0.0,0.03,40.42,0.09,0.97,3.71,0.0,good,0,23.3,74.0,93,3.6,231,SW,1011.0,0.17,64,25.7,10.0,0.0,Light rain shower,2025-11-22 14:42:59.478107,14,5,11,1,0.20594479830148618,23.765,0,False
