year,week,location,aqi_mean,aqi_max,aqi_min,co_mean,co_max,co_min,no_mean,no_max,no_min,no2_mean,no2_max,no2_min,o3_mean,o3_max,o3_min,so2_mean,so2_max,so2_min,pm2_5_mean,pm2_5_max,pm2_5_min,pm10_mean,pm10_max,pm10_min,nh3_mean,nh3_max,nh3_min,risk_score_mean,risk_score_max,risk_score_min,temp_c_mean,temp_c_max,temp_c_min,temp_f_mean,temp_f_max,temp_f_min,humidity_mean,humidity_max,humidity_min,wind_kph_mean,wind_kph_max,wind_kph_min,wind_degree_mean,wind_degree_max,wind_degree_min,pressure_mb_mean,pressure_mb_max,pressure_mb_min,precip_mm_mean,precip_mm_max,precip_mm_min,cloud_mean,cloud_max,cloud_min,feelslike_c_mean,feelslike_c_max,feelslike_c_min,visibility_km_mean,visibility_km_max,visibility_km_min,uv_mean,uv_max,uv_min,hour_mean,hour_max,hour_min,day_of_week_mean,day_of_week_max,day_of_week_min,month_mean,month_max,month_min,is_weekend_mean,is_weekend_max,is_weekend_min,pm_ratio_mean,pm_ratio_max,pm_ratio_min,heat_index_mean,heat_index_max,heat_index_min
2025,47,Pekalongan,3.0,3,3,397.27,397.27,397.27,0.38,0.38,0.38,5.64,5.64,5.64,68.76,68.76,68.76,4.46,4.46,4.46,30.01,30.01,30.01,36.79,36.79,36.79,23.31,23.31,23.31,0.0,0,0,29.5,29.5,29.5,85.0,85.0,85.0,69.0,69,69,6.8,6.8,6.8,5.0,5,5,1007.0,1007.0,1007.0,0.31,0.31,0.31,79.0,79,79,33.5,33.5,33.5,9.0,9.0,9.0,7.4,7.4,7.4,7.0,7,7,6.0,6,6,11.0,11,11,1.0,1,1,0.7941254300079387,0.7941254300079387,0.7941254300079387,29.845,29.845,29.845
2025,47,Purwokerto,1.0,1,1,76.62,76.62,76.62,0.0,0.0,0.0,0.01,0.01,0.01,34.93,34.93,34.93,0.04,0.04,0.04,0.69,0.69,0.69,2.38,2.38,2.38,0.0,0.0,0.0,0.0,0,0,28.4,28.4,28.4,83.1,83.1,83.1,68.0,68,68,9.4,9.4,9.4,196.0,196,196,1008.0,1008.0,1008.0,0.27,0.27,0.27,67.0,67,67,31.4,31.4,31.4,10.0,10.0,10.0,5.1,5.1,5.1,7.0,7,7,6.0,6,6,11.0,11,11,1.0,1,1,0.20414201183431951,0.20414201183431951,0.20414201183431951,28.74,28.74,28.74
2025,47,Semarang,1.0,1,1,113.64,113.64,113.64,0.08,0.08,0.08,0.58,0.58,0.58,48.93,48.93,48.93,1.62,1.62,1.62,7.36,7.36,7.36,10.22,10.22,10.22,2.77,2.77,2.77,0.0,0,0,29.8,29.8,29.8,85.6,85.6,85.6,66.0,66,66,8.3,8.3,8.3,328.0,328,328,1007.0,1007.0,1007.0,0.0,0.0,0.0,18.0,18,18,33.6,33.6,33.6,10.0,10.0,10.0,5.8,5.8,5.8,7.0,7,7,6.0,6,6,11.0,11,11,1.0,1,1,0.6559714795008913,0.6559714795008913,0.6559714795008913,30.13,30.13,30.13
2025,47,Solo,1.0,1,1,78.23,78.23,78.23,0.0,0.0,0.0,0.01,0.01,0.01,35.61,35.61,35.61,0.05,0.05,0.05,0.84,0.84,0.84,2.33,2.33,2.33,0.03,0.03,0.03,0.0,0,0,24.3,24.3,24.3,75.7,75.7,75.7,80.0,80,80,10.8,10.8,10.8,254.0,254,254,1010.0,1010.0,1010.0,0.44,0.44,0.44,73.0,73,73,26.3,26.3,26.3,9.0,9.0,9.0,6.1,6.1,6.1,7.0,7,7,6.0,6,6,11.0,11,11,1.0,1,1,0.25225225225225223,0.25225225225225223,0.25225225225225223,24.7,24.7,24.7
2025,47,Tegal,1.0,1,1,106.21,106.21,106.21,0.06,0.06,0.06,0.71,0.71,0.71,40.93,40.93,40.93,0.24,0.24,0.24,1.94,1.94,1.94,4.1,4.1,4.1,4.13,4.13,4.13,0.0,0,0,29.9,29.9,29.9,85.8,85.8,85.8,62.0,62,62,5.4,5.4,5.4,25.0,25,25,1007.0,1007.0,1007.0,0.17,0.17,0.17,70.0,70,70,33.1,33.1,33.1,9.0,9.0,9.0,7.5,7.5,7.5,7.0,7,7,6.0,6,6,11.0,11,11,1.0,1,1,0.38039215686274513,0.38039215686274513,0.38039215686274513,30.209999999999997,30.209999999999997,30.209999999999997
