location,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,risk_category,risk_score,temp_c,temp_f,humidity,wind_kph,wind_degree,wind_dir,pressure_mb,precip_mm,cloud,feelslike_c,visibility_km,uv,condition,timestamp,hour,day_of_week,month,is_weekend,pm_ratio,heat_index,z_score,is_anomaly
Semarang,-7.0051,110.4381,1,208.6,0.01,4.42,34.66,1.44,5.16,12.94,9.84,good,0,25.6,78.1,87,3.6,336,NNW,1009.0,1.43,58,28.5,9.0,0.0,Patchy light rain,2025-11-22 14:25:26.782239,14,5,11,1,0.3701578192252511,26.035,0,False
Solo,-7.5755,110.8243,1,76.88,0.0,0.03,38.61,0.13,1.15,4.78,0.02,good,0,18.9,66.0,90,5.4,246,WSW,1014.0,0.02,70,18.9,10.0,0.0,Patchy rain nearby,2025-11-22 14:25:26.972475,14,5,11,1,0.19896193771626294,19.349999999999998,0,False
Tegal,-6.8694,109.1402,1,92.55,0.0,0.67,37.35,0.2,1.47,4.75,2.47,good,0,26.3,79.4,80,16.6,193,SSW,1009.0,0.0,48,29.1,10.0,0.0,Partly Cloudy,2025-11-22 14:25:27.156959,14,5,11,1,0.25565217391304346,26.7,0,False
Pekalongan,-6.8886,109.6753,1,97.42,0.0,1.4,38.18,1.63,1.54,4.79,2.12,good,0,25.9,78.7,85,6.1,160,SSE,1009.0,1.36,74,28.9,10.0,0.0,Light rain shower,2025-11-22 14:25:27.347481,14,5,11,1,0.2659758203799655,26.325,0,False
Purwokerto,-7.4246,109.2379,1,76.37,0.0,0.03,39.89,0.09,1.02,3.9,0.0,good,0,23.3,74.0,93,3.6,231,SW,1011.0,0.17,64,25.7,10.0,0.0,Light rain shower,2025-11-22 14:25:27.543794,14,5,11,1,0.20816326530612245,23.765,0,False
