Indeks Kualitas Lingkungan Hidup (IKLH) Kabupaten Purbalingga,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Uraian,Satuan,Tahun,1053.88,1055.245,1053.72,1055.645
,,2018,2019.0,2020.0,2021.0,2022.0
Indeks Kualitas Udara (IKU),%,82.15,88.76,90.49,86.44,89.29
