year,month,location,aqi_mean,aqi_max,aqi_min,co_mean,co_max,co_min,no_mean,no_max,no_min,no2_mean,no2_max,no2_min,o3_mean,o3_max,o3_min,so2_mean,so2_max,so2_min,pm2_5_mean,pm2_5_max,pm2_5_min,pm10_mean,pm10_max,pm10_min,nh3_mean,nh3_max,nh3_min,risk_score_mean,risk_score_max,risk_score_min,temp_c_mean,temp_c_max,temp_c_min,temp_f_mean,temp_f_max,temp_f_min,humidity_mean,humidity_max,humidity_min,wind_kph_mean,wind_kph_max,wind_kph_min,wind_degree_mean,wind_degree_max,wind_degree_min,pressure_mb_mean,pressure_mb_max,pressure_mb_min,precip_mm_mean,precip_mm_max,precip_mm_min,cloud_mean,cloud_max,cloud_min,feelslike_c_mean,feelslike_c_max,feelslike_c_min,visibility_km_mean,visibility_km_max,visibility_km_min,uv_mean,uv_max,uv_min,hour_mean,hour_max,hour_min,day_of_week_mean,day_of_week_max,day_of_week_min,is_weekend_mean,is_weekend_max,is_weekend_min,pm_ratio_mean,pm_ratio_max,pm_ratio_min,heat_index_mean,heat_index_max,heat_index_min
2025,11,Pekalongan,1.0,1,1,97.42,97.42,97.42,0.0,0.0,0.0,1.4,1.4,1.4,38.18,38.18,38.18,1.63,1.63,1.63,1.54,1.54,1.54,4.79,4.79,4.79,2.12,2.12,2.12,0.0,0,0,25.9,25.9,25.9,78.7,78.7,78.7,85.0,85,85,6.1,6.1,6.1,160.0,160,160,1009.0,1009.0,1009.0,1.36,1.36,1.36,74.0,74,74,28.9,28.9,28.9,10.0,10.0,10.0,0.0,0.0,0.0,14.0,14,14,5.0,5,5,1.0,1,1,0.2659758203799655,0.2659758203799655,0.2659758203799655,26.325,26.325,26.325
2025,11,Purwokerto,1.0,1,1,76.37,76.37,76.37,0.0,0.0,0.0,0.03,0.03,0.03,39.89,39.89,39.89,0.09,0.09,0.09,1.02,1.02,1.02,3.9,3.9,3.9,0.0,0.0,0.0,0.0,0,0,23.3,23.3,23.3,74.0,74.0,74.0,93.0,93,93,3.6,3.6,3.6,231.0,231,231,1011.0,1011.0,1011.0,0.17,0.17,0.17,64.0,64,64,25.7,25.7,25.7,10.0,10.0,10.0,0.0,0.0,0.0,14.0,14,14,5.0,5,5,1.0,1,1,0.20816326530612245,0.20816326530612245,0.20816326530612245,23.765,23.765,23.765
2025,11,Semarang,1.0,1,1,208.6,208.6,208.6,0.01,0.01,0.01,4.42,4.42,4.42,34.66,34.66,34.66,1.44,1.44,1.44,5.16,5.16,5.16,12.94,12.94,12.94,9.84,9.84,9.84,0.0,0,0,25.6,25.6,25.6,78.1,78.1,78.1,87.0,87,87,3.6,3.6,3.6,336.0,336,336,1009.0,1009.0,1009.0,1.43,1.43,1.43,58.0,58,58,28.5,28.5,28.5,9.0,9.0,9.0,0.0,0.0,0.0,14.0,14,14,5.0,5,5,1.0,1,1,0.3701578192252511,0.3701578192252511,0.3701578192252511,26.035,26.035,26.035
2025,11,Solo,1.0,1,1,76.88,76.88,76.88,0.0,0.0,0.0,0.03,0.03,0.03,38.61,38.61,38.61,0.13,0.13,0.13,1.15,1.15,1.15,4.78,4.78,4.78,0.02,0.02,0.02,0.0,0,0,18.9,18.9,18.9,66.0,66.0,66.0,90.0,90,90,5.4,5.4,5.4,246.0,246,246,1014.0,1014.0,1014.0,0.02,0.02,0.02,70.0,70,70,18.9,18.9,18.9,10.0,10.0,10.0,0.0,0.0,0.0,14.0,14,14,5.0,5,5,1.0,1,1,0.19896193771626294,0.19896193771626294,0.19896193771626294,19.349999999999998,19.349999999999998,19.349999999999998
2025,11,Tegal,1.0,1,1,92.55,92.55,92.55,0.0,0.0,0.0,0.67,0.67,0.67,37.35,37.35,37.35,0.2,0.2,0.2,1.47,1.47,1.47,4.75,4.75,4.75,2.47,2.47,2.47,0.0,0,0,26.3,26.3,26.3,79.4,79.4,79.4,80.0,80,80,16.6,16.6,16.6,193.0,193,193,1009.0,1009.0,1009.0,0.0,0.0,0.0,48.0,48,48,29.1,29.1,29.1,10.0,10.0,10.0,0.0,0.0,0.0,14.0,14,14,5.0,5,5,1.0,1,1,0.25565217391304346,0.25565217391304346,0.25565217391304346,26.7,26.7,26.7
