group,lat_mean,lat_median,lat_std,lat_min,lat_max,lon_mean,lon_median,lon_std,lon_min,lon_max,aqi_mean,aqi_median,aqi_std,aqi_min,aqi_max,co_mean,co_median,co_std,co_min,co_max,no_mean,no_median,no_std,no_min,no_max,no2_mean,no2_median,no2_std,no2_min,no2_max,o3_mean,o3_median,o3_std,o3_min,o3_max,so2_mean,so2_median,so2_std,so2_min,so2_max,pm2_5_mean,pm2_5_median,pm2_5_std,pm2_5_min,pm2_5_max,pm10_mean,pm10_median,pm10_std,pm10_min,pm10_max,nh3_mean,nh3_median,nh3_std,nh3_min,nh3_max,risk_score_mean,risk_score_median,risk_score_std,risk_score_min,risk_score_max,temp_c_mean,temp_c_median,temp_c_std,temp_c_min,temp_c_max,temp_f_mean,temp_f_median,temp_f_std,temp_f_min,temp_f_max,humidity_mean,humidity_median,humidity_std,humidity_min,humidity_max,wind_kph_mean,wind_kph_median,wind_kph_std,wind_kph_min,wind_kph_max,wind_degree_mean,wind_degree_median,wind_degree_std,wind_degree_min,wind_degree_max,pressure_mb_mean,pressure_mb_median,pressure_mb_std,pressure_mb_min,pressure_mb_max,precip_mm_mean,precip_mm_median,precip_mm_std,precip_mm_min,precip_mm_max,cloud_mean,cloud_median,cloud_std,cloud_min,cloud_max,feelslike_c_mean,feelslike_c_median,feelslike_c_std,feelslike_c_min,feelslike_c_max,visibility_km_mean,visibility_km_median,visibility_km_std,visibility_km_min,visibility_km_max,uv_mean,uv_median,uv_std,uv_min,uv_max,hour_mean,hour_median,hour_std,hour_min,hour_max,day_of_week_mean,day_of_week_median,day_of_week_std,day_of_week_min,day_of_week_max,month_mean,month_median,month_std,month_min,month_max,is_weekend_mean,is_weekend_median,is_weekend_std,is_weekend_min,is_weekend_max,pm_ratio_mean,pm_ratio_median,pm_ratio_std,pm_ratio_min,pm_ratio_max,heat_index_mean,heat_index_median,heat_index_std,heat_index_min,heat_index_max
Semarang,-7.0051,-7.0051,,-7.0051,-7.0051,110.4381,110.4381,,110.4381,110.4381,1.0,1.0,,1,1,247.99,247.99,,247.99,247.99,0.02,0.02,,0.02,0.02,5.41,5.41,,5.41,5.41,32.75,32.75,,32.75,32.75,1.68,1.68,,1.68,1.68,6.75,6.75,,6.75,6.75,15.86,15.86,,15.86,15.86,12.98,12.98,,12.98,12.98,0.0,0.0,,0,0,25.6,25.6,,25.6,25.6,78.1,78.1,,78.1,78.1,87.0,87.0,,87,87,3.6,3.6,,3.6,3.6,336.0,336.0,,336,336,1009.0,1009.0,,1009.0,1009.0,1.43,1.43,,1.43,1.43,58.0,58.0,,58,58,28.5,28.5,,28.5,28.5,9.0,9.0,,9.0,9.0,0.0,0.0,,0.0,0.0,14.0,14.0,,14,14,5.0,5.0,,5,5,11.0,11.0,,11,11,1.0,1.0,,1,1,0.400355871886121,0.400355871886121,,0.400355871886121,0.400355871886121,26.035,26.035,,26.035,26.035
Solo,-7.5755,-7.5755,,-7.5755,-7.5755,110.8243,110.8243,,110.8243,110.8243,1.0,1.0,,1,1,76.8,76.8,,76.8,76.8,0.0,0.0,,0.0,0.0,0.03,0.03,,0.03,0.03,38.04,38.04,,38.04,38.04,0.14,0.14,,0.14,0.14,1.17,1.17,,1.17,1.17,4.79,4.79,,4.79,4.79,0.02,0.02,,0.02,0.02,0.0,0.0,,0,0,18.9,18.9,,18.9,18.9,66.0,66.0,,66.0,66.0,90.0,90.0,,90,90,5.4,5.4,,5.4,5.4,246.0,246.0,,246,246,1014.0,1014.0,,1014.0,1014.0,0.02,0.02,,0.02,0.02,70.0,70.0,,70,70,18.9,18.9,,18.9,18.9,10.0,10.0,,10.0,10.0,0.0,0.0,,0.0,0.0,14.0,14.0,,14,14,5.0,5.0,,5,5,11.0,11.0,,11,11,1.0,1.0,,1,1,0.20207253886010362,0.20207253886010362,,0.20207253886010362,0.20207253886010362,19.349999999999998,19.349999999999998,,19.349999999999998,19.349999999999998
Tegal,-6.8694,-6.8694,,-6.8694,-6.8694,109.1402,109.1402,,109.1402,109.1402,1.0,1.0,,1,1,91.5,91.5,,91.5,91.5,0.0,0.0,,0.0,0.0,0.63,0.63,,0.63,0.63,37.59,37.59,,37.59,37.59,0.19,0.19,,0.19,0.19,1.42,1.42,,1.42,1.42,4.63,4.63,,4.63,4.63,2.4,2.4,,2.4,2.4,0.0,0.0,,0,0,26.3,26.3,,26.3,26.3,79.4,79.4,,79.4,79.4,80.0,80.0,,80,80,16.6,16.6,,16.6,16.6,193.0,193.0,,193,193,1009.0,1009.0,,1009.0,1009.0,0.0,0.0,,0.0,0.0,48.0,48.0,,48,48,29.1,29.1,,29.1,29.1,10.0,10.0,,10.0,10.0,0.0,0.0,,0.0,0.0,14.0,14.0,,14,14,5.0,5.0,,5,5,11.0,11.0,,11,11,1.0,1.0,,1,1,0.2522202486678508,0.2522202486678508,,0.2522202486678508,0.2522202486678508,26.7,26.7,,26.7,26.7
Pekalongan,-6.8886,-6.8886,,-6.8886,-6.8886,109.6753,109.6753,,109.6753,109.6753,1.0,1.0,,1,1,96.24,96.24,,96.24,96.24,0.0,0.0,,0.0,0.0,1.38,1.38,,1.38,1.38,38.47,38.47,,38.47,38.47,1.67,1.67,,1.67,1.67,1.49,1.49,,1.49,1.49,4.66,4.66,,4.66,4.66,2.09,2.09,,2.09,2.09,0.0,0.0,,0,0,25.9,25.9,,25.9,25.9,78.7,78.7,,78.7,78.7,85.0,85.0,,85,85,6.1,6.1,,6.1,6.1,160.0,160.0,,160,160,1009.0,1009.0,,1009.0,1009.0,1.36,1.36,,1.36,1.36,74.0,74.0,,74,74,28.9,28.9,,28.9,28.9,10.0,10.0,,10.0,10.0,0.0,0.0,,0.0,0.0,14.0,14.0,,14,14,5.0,5.0,,5,5,11.0,11.0,,11,11,1.0,1.0,,1,1,0.26325088339222613,0.26325088339222613,,0.26325088339222613,0.26325088339222613,26.325,26.325,,26.325,26.325
Purwokerto,-7.4246,-7.4246,,-7.4246,-7.4246,109.2379,109.2379,,109.2379,109.2379,1.0,1.0,,1,1,76.47,76.47,,76.47,76.47,0.0,0.0,,0.0,0.0,0.03,0.03,,0.03,0.03,40.42,40.42,,40.42,40.42,0.09,0.09,,0.09,0.09,0.97,0.97,,0.97,0.97,3.71,3.71,,3.71,3.71,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0,23.3,23.3,,23.3,23.3,74.0,74.0,,74.0,74.0,93.0,93.0,,93,93,3.6,3.6,,3.6,3.6,231.0,231.0,,231,231,1011.0,1011.0,,1011.0,1011.0,0.17,0.17,,0.17,0.17,64.0,64.0,,64,64,25.7,25.7,,25.7,25.7,10.0,10.0,,10.0,10.0,0.0,0.0,,0.0,0.0,14.0,14.0,,14,14,5.0,5.0,,5,5,11.0,11.0,,11,11,1.0,1.0,,1,1,0.20594479830148618,0.20594479830148618,,0.20594479830148618,0.20594479830148618,23.765,23.765,,23.765,23.765
