location,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,risk_category,risk_score,temp_c,temp_f,humidity,wind_kph,wind_degree,wind_dir,pressure_mb,precip_mm,cloud,feelslike_c,visibility_km,uv,condition,timestamp,hour,day_of_week,month,is_weekend,pm_ratio,heat_index,z_score,is_anomaly
Semarang,-7.0051,110.4381,1,113.64,0.08,0.58,48.93,1.62,7.36,10.22,2.77,good,0,29.8,85.6,66,8.3,328,NNW,1007.0,0.0,18,33.6,10.0,5.8,Sunny,2025-11-23 07:02:14.942039,7,6,11,1,0.6559714795008913,30.13,-0.44721359549995787,False
Solo,-7.5755,110.8243,1,78.23,0.0,0.01,35.61,0.05,0.84,2.33,0.03,good,0,24.3,75.7,80,10.8,254,WSW,1010.0,0.44,73,26.3,9.0,6.1,Patchy rain nearby,2025-11-23 07:02:15.406643,7,6,11,1,0.25225225225225223,24.7,-0.44721359549995787,False
Tegal,-6.8694,109.1402,1,106.21,0.06,0.71,40.93,0.24,1.94,4.1,4.13,good,0,29.9,85.8,62,5.4,25,NNE,1007.0,0.17,70,33.1,9.0,7.5,Patchy rain nearby,2025-11-23 07:02:15.757700,7,6,11,1,0.38039215686274513,30.209999999999997,-0.44721359549995787,False
Pekalongan,-6.8886,109.6753,3,397.27,0.38,5.64,68.76,4.46,30.01,36.79,23.31,good,0,29.5,85.0,69,6.8,5,N,1007.0,0.31,79,33.5,9.0,7.4,Patchy rain nearby,2025-11-23 07:02:16.201773,7,6,11,1,0.7941254300079387,29.845,1.788854381999832,False
Purwokerto,-7.4246,109.2379,1,76.62,0.0,0.01,34.93,0.04,0.69,2.38,0.0,good,0,28.4,83.1,68,9.4,196,SSW,1008.0,0.27,67,31.4,10.0,5.1,Light rain shower,2025-11-23 07:02:16.561376,7,6,11,1,0.20414201183431951,28.74,-0.44721359549995787,False
