Indeks Kualitas Lingkungan Hidup (IKLH) Kabupaten Purbalingga,,,,,,
,,,,,,
Uraian,Satuan,Tahun,,,,
,,2018,2019,2020,2021,2022
Indeks Kualitas Udara (IKU),%,82.15,88.76,90.49,86.44,89.29
