 ;2020;2021;2022
Jan;93.767;45.316;65.740
Feb;105.403;46.137;63.264
Mar;121.237;54.989;55.922
Apr;66.753;53.985;58.112
Mei;49.449;52.041;57.590
Juni;53.492;50.623;61.886
Juli;56.564;39.396;50.281
Agst;47.528;39.139;71.990
Sept;45.662;45.031;59.552
Okt;39.717;46.275;58.056
Nov;42.238;55.976;42.625
Des;37.290;68.532;8.628
;759.100;597.440;
